PropertyStore FormatID\ID,Description
1A9BA605-8E7C-4D11-AD7D-A50ADA18BA1B\2,Message Participants
1B5439E7-EBA1-4AF8-BDD7-7AF1D4549493\100,RecordedTV StationName
1B97738A-FDFC-462F-9D93-1957E08BE90C\100,Photo FNumberNumerator
30c8eef4-a832-41e2-ab32-e3c3ca28fd29\2,Home Grouping
30c8eef4-a832-41e2-ab32-e3c3ca28fd29\3,Home Sort Order
30c8eef4-a832-41e2-ab32-e3c3ca28fd29\4,Home Is Pinned
30c8eef4-a832-41e2-ab32-e3c3ca28fd29\5,Home PropList Sort
30c8eef4-a832-41e2-ab32-e3c3ca28fd29\6,Home Item Folder Path Display
3143BF7C-80A8-4854-8880-E2E40189BDD0\100,Message AttachmentContents
315B9C8D-80A9-4EF9-AE16-8E746DA51D70\100,Calendar IsRecurring
318A6B45-087F-4DC2-B8CC-05359551FC9E\100,Photo RelatedSoundFile
31B37743-7C5E-4005-93E6-E953F92B82E9\2,Devices WiFiDirectServices ServiceAddress
31B37743-7C5E-4005-93E6-E953F92B82E9\3,Devices WiFiDirectServices ServiceName
31B37743-7C5E-4005-93E6-E953F92B82E9\4,Devices WiFiDirectServices ServiceInformation
31B37743-7C5E-4005-93E6-E953F92B82E9\5,Devices WiFiDirectServices AdvertisementId
31B37743-7C5E-4005-93E6-E953F92B82E9\6,Devices WiFiDirectServices ServiceConfigMethods
31B37743-7C5E-4005-93E6-E953F92B82E9\7,Devices WiFiDirectServices RequestServiceInformation
328d8b21-7729-4bfc-954c-902b329d56b0\2,Sync Copy In
32bcb03c-7f34-4e3f-bbb2-ebe63629f5e4\100,Is Simple Item
33DCF22B-28D5-464C-8035-1EE9EFD25278\100,GPS LongitudeRef
341796F1-1DF9-4B1C-A564-91BDEFA43877\100,Photo PhotometricInterpretation
346C8BD1-2E6A-4C45-89A4-61B78E8E700F\100,IsIncomplete
35DBE6FE-44C3-4400-AAAE-D2C799C407E8\100,GPS TrackRef
3602C812-0F3B-45F0-85AD-603468D69423\100,GPS Date
3633DE59-6825-4381-A49B-9F6BA13A1471\2,Devices PlaybackState
3633DE59-6825-4381-A49B-9F6BA13A1471\3,Devices PlaybackTitle
3633DE59-6825-4381-A49B-9F6BA13A1471\4,Devices RemainingDuration
3633DE59-6825-4381-A49B-9F6BA13A1471\5,Devices PlaybackPositionPercent
364028DA-D895-41FE-A584-302B1BB70A76\100,Contact DisplayBusinessPhoneNumbers
364B6FA9-37AB-482A-BE2B-AE02F60D4318\100,Image CompressedBitsPerPixel
37ebd11f-7e72-4ebc-9d4c-c790f8c277c2\2,Device Interface Spb Controller Friendly Name
38965063-EDC8-4268-8491-B7723172CF29\100,Contact EmailAddress2
38D43380-D418-4830-84D5-46935A81C5C6\32,Security AllowedEnterpriseDataProtectionIdentities
39A7F922-477C-48DE-8BC8-B28441E342E3\100,Project
39B77F4F-A104-4863-B395-2DB2AD8F7BC1\100,Contact ConnectedServiceDisplayName
3A372292-7FCA-49A7-99D5-E47BB2D4E7AB\100,GPS DestLatitudeDenominator
3B2CE006-5E61-4FDE-BAB8-9B8AAC9B26DF\5,Devices Aep ProtocolId
3B2CE006-5E61-4FDE-BAB8-9B8AAC9B26DF\8,Devices Aep AepId
3C8CEE58-D4F0-4CF9-B756-4E5D24447BCD\100,Contact Gender
3C8CEE58-D4F0-4CF9-B756-4E5D24447BCD\101,Contact GenderValue
3d658d4d-bc38-464a-b555-418d554a8df8\100,Fonts Description
3d75e4f5-a391-4952-81f7-c7072fe53025\100,File Reparse Point Tag
3F08E66F-2F44-4BB9-A682-AC35D2562322\100,Image CompressionText
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\2,Extensions Type
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\3,Extensions Date Last Used
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\4,Extensions Used Count
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\5,Extensions Blocked Count
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\6,Extensions CLSID
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\7,Extensions Status
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\8,Check State
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\9,Extensions Suspect
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\10,Extensions File Name
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\11,Extensions File Path
3f5d9b45-5e9f-4d5c-8a5e-403181bf177b\12,Extensions Flags
3F8472B5-E0AF-4DB2-8071-C53FE76AE7CE\100,DueDate
402B5934-EC5A-48C3-93E6-85E86A2D934E\100,Contact BusinessAddressCity
41CF5AE0-F75A-4806-BD87-59C7D9248EB9\100,FileName
425D69E5-48AD-4900-8D80-6EB6B8D0AC86\100,GPS DestLongitudeDenominator
428040AC-A177-4C8A-9760-F6F761227F9A\100,Communication DateItemExpires
42864DFD-9DA4-4F77-BDED-4AAD7B256735\100,Photo GainControlDenominator
4340A6C5-93FA-4706-972C-7B648008A5A7\8,Devices Parent
4340A6C5-93FA-4706-972C-7B648008A5A7\9,Devices Children
436F2667-14E2-4FEB-B30A-146C53B5B674\100,Link Arguments
43F8D7B7-A444-4F87-9383-52271C9B915C\100,DateArchived
446F787F-10C4-41CB-A6C4-4D0343551597\100,Contact BusinessAddressState
4530d076-b598-4a81-8813-9b11286ef6ea\2,Fonts Font Embeddability
4530d076-b598-4a81-8813-9b11286ef6ea\5,Fonts Type
4530d076-b598-4a81-8813-9b11286ef6ea\7,Fonts File Names
4596208c-32fa-41d2-9695-af0cb9e8dcfe\100,Stack Thumbnail Cache Ids
45EAE747-8E2A-40AE-8CBF-CA52ABA6152A\100,FlagColorText
4679C1B5-844D-4590-BAF5-F322231F1B81\100,GPS LongitudeDecimal
467EE575-1F25-4557-AD4E-B8B58B0D9C15\100,GPS Satellites
4684FE97-8765-4842-9C13-F006447B178C\100,RecordedTV OriginalBroadcastDate
46AC629D-75EA-4515-867F-6DC4321C5844\100,GPS AltitudeRef
46B4E8DE-CDB2-440D-885C-1658EB65B914\100,Note ColorText
47166B16-364F-4AA0-9F31-E2AB3DF449C3\100,GPS DOPNumerator
4776CAFA-BCE4-4CB1-A23E-265E76D8EB11\100,Note Color
47A96261-CB4C-4807-8AD3-40B9D9DBC6BC\100,GPS DestLongitude
48FD6EC8-8A12-4CDF-A03E-4EC5A511EDDE\100,StartDate
49237325-A95A-4F67-B211-816B2D45D2E0\100,Photo Saturation
49691c90-7e17-101a-a91c-08002b2ecda9\2,Search Results Rank
49691C90-7E17-101A-A91C-08002B2ECDA9\3,Search Rank
49691C90-7E17-101A-A91C-08002B2ECDA9\4,Search HitCount
49691C90-7E17-101A-A91C-08002B2ECDA9\5,Search EntryID
49691c90-7e17-101a-a91c-08002b2ecda9\8,Search Reverse File Name
49691C90-7E17-101A-A91C-08002B2ECDA9\9,ItemUrl
49691c90-7e17-101a-a91c-08002b2ecda9\10,Content Url
49691c90-7e17-101a-a91c-08002b2ecda9\15,Search Row Id
49691C90-7E17-101A-A91C-08002B2ECDA9\21,Search QueryPropertyHits
49691c90-7e17-101a-a91c-08002b2ecda9\22,Search Completion
49691c90-7e17-101a-a91c-08002b2ecda9\28,Search Result Set Aggregate Attributes
49753869-849c-4323-a41f-26d73f28b53b\100,Fonts Vendors
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\2,Devices SignalStrength
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\3,Devices TextMessages
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\4,Devices NewPictures
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\5,Devices MissedCalls
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\6,Devices Voicemail
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\7,Devices NetworkName
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\8,Devices NetworkType
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\9,Devices Roaming
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\10,Devices BatteryLife
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\11,Devices ChargingState
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\12,Devices StorageCapacity
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\13,Devices StorageFreeSpace
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\14,Devices StorageFreeSpacePercent
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\22,Devices BatteryPlusCharging
49CD1F76-5626-4B17-A4E8-18B4AA1A2213\23,Devices BatteryPlusChargingText
49D1091F-082E-493F-B23F-D2308AA9668C\100,PropList NonPersonal
49eb6558-c09c-46dc-8668-1f848c290d0b\1,Shell Exclusion
49eb6558-c09c-46dc-8668-1f848c290d0b\3,Shell Item Offline Status
4ac903f8-e780-4e4b-b7b8-4d00a99804fc\100,Home Group Sharing Status
4b486401-5468-4381-9b5a-42df4cb49f53\100,Fonts Category
4bd13b3d-e68b-44ec-89ee-7611789d4070\100,Start Menu Group
4bd13b3d-e68b-44ec-89ee-7611789d4070\101,Start Menu Run Command
4bd13b3d-e68b-44ec-89ee-7611789d4070\102,Start Menu Query
4bd13b3d-e68b-44ec-89ee-7611789d4070\103,Start Menu Group Item
4bd13b3d-e68b-44ec-89ee-7611789d4070\104,Start Menu Include In Scope
4bd13b3d-e68b-44ec-89ee-7611789d4070\105,Start Menu Result Source Id
4C6BF15C-4C03-4AAC-91F5-64C0F852BCF4\2,DeviceInterface Serial UsbVendorId
4C6BF15C-4C03-4AAC-91F5-64C0F852BCF4\3,DeviceInterface Serial UsbProductId
4C6BF15C-4C03-4AAC-91F5-64C0F852BCF4\4,DeviceInterface Serial PortName
4D1EBEE8-0803-4774-9842-B77DB50265E9\2,Storage Portable
4D1EBEE8-0803-4774-9842-B77DB50265E9\3,Storage RemovableMedia
4D1EBEE8-0803-4774-9842-B77DB50265E9\4,Storage SystemCritical
4e9cfc01-5d36-406a-83cd-4e7423923604\2,Offline Sync Time
4f289a46-2bbb-4ae8-9eda-e5e034707a71\2,Lzh Folder Compressed Size
4f289a46-2bbb-4ae8-9eda-e5e034707a71\3,Lzh Folder CRC16
4f289a46-2bbb-4ae8-9eda-e5e034707a71\4,Lzh Folder Method
4f289a46-2bbb-4ae8-9eda-e5e034707a71\5,Lzh Folder Ratio
4FFFE4D0-914F-4AC4-8D6F-C9C61DE169B1\100,Photo FocalPlaneYResolution
502CFEAB-47EB-459C-B960-E6D8728F7701\100,ZoneIdentifier
502CFEAB-47EB-459C-B960-E6D8728F7701\101,LastWriterPackageFamilyName
502CFEAB-47EB-459C-B960-E6D8728F7701\102,AppZoneIdentifier
5068BCDF-D697-4D85-8C53-1F1CDAB01763\100,Contact DisplayHomePhoneNumbers
508161FA-313B-43D5-83A1-C1ACCF68622C\100,Contact OtherAddress
51236583-0C4A-4FE8-B81F-166AEC13F510\100,Devices AppPackageFamilyName
51236583-0C4A-4FE8-B81F-166AEC13F510\123,Devices GlyphIcon
51EC3F47-DD50-421D-8769-334F50424B1E\100,Photo SharpnessText
53DA57CF-62C0-45C4-81DE-7610BCEFD7F5\100,Calendar ShowTimeAsText
540B947E-8B40-45BC-A8A2-6A0B894CBDA2\5,Devices Present
540B947E-8B40-45BC-A8A2-6A0B894CBDA2\6,Devices DeviceHasProblem
540B947E-8B40-45BC-A8A2-6A0B894CBDA2\9,Devices PhysicalDeviceLocation
54b3a473-59aa-445b-aecd-77541ba8b7c9\2,User Name
54b3a473-59aa-445b-aecd-77541ba8b7c9\3,User Display Name
54b3a473-59aa-445b-aecd-77541ba8b7c9\5,User Profile Path
5567bf77-2be2-4222-befa-d0c9c9cc4b6e\2,Velocity Feature Id
55E98597-AD16-42E0-B624-21599A199838\100,Photo ExposureTimeDenominator
560C36C0-503A-11CF-BAA1-00004C752A9A\2,Search AutoSummary
560C36C0-503A-11CF-BAA1-00004C752A9A\3,Search QueryFocusedSummary
560C36C0-503A-11CF-BAA1-00004C752A9A\4,Search QueryFocusedSummaryWithFallback
56310920-2491-4919-99CE-EADB06FAFDB2\100,Contact BusinessHomePage
56A3372E-CE9C-11D2-9F0E-006097C686F6\2,Music Artist
56A3372E-CE9C-11D2-9F0E-006097C686F6\4,Music AlbumTitle
56A3372E-CE9C-11D2-9F0E-006097C686F6\5,Media Year
56A3372E-CE9C-11D2-9F0E-006097C686F6\7,Music TrackNumber
56A3372E-CE9C-11D2-9F0E-006097C686F6\11,Music Genre
56A3372E-CE9C-11D2-9F0E-006097C686F6\12,Music Lyrics
56A3372E-CE9C-11D2-9F0E-006097C686F6\13,Music AlbumArtist
56A3372E-CE9C-11D2-9F0E-006097C686F6\33,Music ContentGroupDescription
56A3372E-CE9C-11D2-9F0E-006097C686F6\34,Music InitialKey
56A3372E-CE9C-11D2-9F0E-006097C686F6\35,Music BeatsPerMinute
56A3372E-CE9C-11D2-9F0E-006097C686F6\36,Music Conductor
56A3372E-CE9C-11D2-9F0E-006097C686F6\37,Music PartOfSet
56A3372E-CE9C-11D2-9F0E-006097C686F6\38,Media SubTitle
56A3372E-CE9C-11D2-9F0E-006097C686F6\39,Music Mood
56A3372E-CE9C-11D2-9F0E-006097C686F6\100,Music AlbumID
56C90E9D-9D46-4963-886F-2E1CD9A694EF\100,Contact HomeEmailAddresses
57086c23-86c6-478f-afb2-236188c8f47f\2,Taskbar Tab Active
57086c23-86c6-478f-afb2-236188c8f47f\3,Taskbar Tab List
5741cf9c-56fe-485b-8901-4786449e188d\100,Fonts Designed For
59569556-0A08-4212-95B9-FAE2AD6413DB\2,Devices Notifications NewVoicemail
596fd41b-af9b-4ba8-9b49-33b16f16678c\100,Fonts Styles
59D49E61-840F-4AA9-A939-E2099B7F6399\100,GPS ProcessingMethod
59DDE9F2-5253-40EA-9A8B-479E96C6249A\100,Photo ContrastText
5ab5c75f-15e1-4d65-924a-04754567243c\2,Setting Host Id
5ab5c75f-15e1-4d65-924a-04754567243c\3,Setting Setting Id
5ab5c75f-15e1-4d65-924a-04754567243c\4,Setting Page Id
5ab5c75f-15e1-4d65-924a-04754567243c\5,Setting Group Id
5ab5c75f-15e1-4d65-924a-04754567243c\6,Setting Condition
5ab5c75f-15e1-4d65-924a-04754567243c\7,Setting Glyph
5ab5c75f-15e1-4d65-924a-04754567243c\8,Setting Glyph Rtl
5BF396D4-5EB2-466F-BDE9-2FB3F2361D6E\100,Calendar ShowTimeAs
5cbf2787-48cf-4208-b90e-ee5e5d420294\1,History Url Hash
5cbf2787-48cf-4208-b90e-ee5e5d420294\2,Link Target Url
5cbf2787-48cf-4208-b90e-ee5e5d420294\3,Url Scheme
5cbf2787-48cf-4208-b90e-ee5e5d420294\4,Url HostName
5cbf2787-48cf-4208-b90e-ee5e5d420294\5,History Url Extra Info
5cbf2787-48cf-4208-b90e-ee5e5d420294\6,History Code Page
5cbf2787-48cf-4208-b90e-ee5e5d420294\7,History Visit Count
5cbf2787-48cf-4208-b90e-ee5e5d420294\8,History Is History
5cbf2787-48cf-4208-b90e-ee5e5d420294\9,History I sDownload
5cbf2787-48cf-4208-b90e-ee5e5d420294\10,History Download Location
5cbf2787-48cf-4208-b90e-ee5e5d420294\11,History Download Size
5cbf2787-48cf-4208-b90e-ee5e5d420294\12,History Favorite IconKey
5cbf2787-48cf-4208-b90e-ee5e5d420294\13,History Is Favorite
5cbf2787-48cf-4208-b90e-ee5e5d420294\14,History Is Offline Favorite
5cbf2787-48cf-4208-b90e-ee5e5d420294\15,History Is Pinned Favorite
5cbf2787-48cf-4208-b90e-ee5e5d420294\16,History Is Typed Url
5cbf2787-48cf-4208-b90e-ee5e5d420294\17,History Is Top Level
5cbf2787-48cf-4208-b90e-ee5e5d420294\18,History Is Feed
5cbf2787-48cf-4208-b90e-ee5e5d420294\19,History Keywords
5cbf2787-48cf-4208-b90e-ee5e5d420294\20,History User Keywords
5cbf2787-48cf-4208-b90e-ee5e5d420294\21,Link Description
5cbf2787-48cf-4208-b90e-ee5e5d420294\22,History User Description
5cbf2787-48cf-4208-b90e-ee5e5d420294\23,Link Date Visited
5cbf2787-48cf-4208-b90e-ee5e5d420294\24,History Icon Bits
5cbf2787-48cf-4208-b90e-ee5e5d420294\25,Icon Path
5cbf2787-48cf-4208-b90e-ee5e5d420294\26,Icon Index
5cbf2787-48cf-4208-b90e-ee5e5d420294\27,History Icon Date
5cbf2787-48cf-4208-b90e-ee5e5d420294\28,History Points
5cbf2787-48cf-4208-b90e-ee5e5d420294\29,History Sessions
5cbf2787-48cf-4208-b90e-ee5e5d420294\33,History Subscription Cookie
5cbf2787-48cf-4208-b90e-ee5e5d420294\34,History Tracking
5cbf2787-48cf-4208-b90e-ee5e5d420294\35,Link Working Folder Path
5cbf2787-48cf-4208-b90e-ee5e5d420294\36,Link Hot Key
5cbf2787-48cf-4208-b90e-ee5e5d420294\37,Link Show Cmd
5cbf2787-48cf-4208-b90e-ee5e5d420294\38,Link Whats New
5cbf2787-48cf-4208-b90e-ee5e5d420294\39,History Date Changed
5cbf2787-48cf-4208-b90e-ee5e5d420294\40,History Flags
5cbf2787-48cf-4208-b90e-ee5e5d420294\41,History Watch
5cbf2787-48cf-4208-b90e-ee5e5d420294\42,History Favorite Icon Hash
5cbf2787-48cf-4208-b90e-ee5e5d420294\43,Icon Secondary Stream Name
5CDA5FC8-33EE-4FF3-9094-AE7BD8868C4D\100,IsDeleted
5cde9f0e-1de4-4453-96a9-56e8832efa3d\1,Computer Domain Name
5cde9f0e-1de4-4453-96a9-56e8832efa3d\2,Computer Workgroup
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\2,IsPinnedToNameSpaceTree
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\3,IsDefaultSaveLocation
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\4,IsSearchOnlyItem
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\5,IsDefaultNonOwnerSaveLocation
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\6,OwnerSID
5d76b67f-9b3d-44bb-b6ae-25da4f638a67\7,Is Default Save Location For Display
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\8,IsLocationSupported
5d76b67f-9b3d-44bb-b6ae-25da4f638a67\9,Library Location Support Status
5D76B67F-9B3D-44BB-B6AE-25DA4F638A67\10,DefaultSaveLocationDisplay
5d76b67f-9b3d-44bb-b6ae-25da4f638a67\11,Default Save Location Icon Container
5DA84765-E3FF-4278-86B0-A27967FBDD03\100,IsFlagged
5DC2253F-5E11-4ADF-9CFE-910DD01E3E70\100,Contact Hobbies
5F5AFF6A-37E5-4780-97EA-80C7565CF535\34,Security EncryptionOwners
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\2,Devices Aep Bluetooth Cod Major
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\3,Devices Aep Bluetooth Cod Minor
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\4,Devices Aep Bluetooth Cod Services LimitedDiscovery
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\5,Devices Aep Bluetooth Cod Services Positioning
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\6,Devices Aep Bluetooth Cod Services Networking
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\7,Devices Aep Bluetooth Cod Services Rendering
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\8,Devices Aep Bluetooth Cod Services Capturing
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\9,Devices Aep Bluetooth Cod Services ObjectXfer
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\10,Devices Aep Bluetooth Cod Services Audio
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\11,Devices Aep Bluetooth Cod Services Telephony
5FBD34CD-561A-412E-BA98-478A6B0FEF1D\12,Devices Aep Bluetooth Cod Services Information
61478C08-B600-4A84-BBE4-E99C45F0A072\100,Photo SaturationText
61872CF7-6B5E-4B4B-AC2D-59DA84459248\100,PropGroup Media
62d2d9ab-8b64-498d-b865-402d4796f865\3,Location Empty String
6336B95E-C7A7-426D-86FD-7AE3D39C84B4\100,Photo WhiteBalanceText
635E9051-50A5-4BA2-B9DB-4ED056C77296\100,Contact FullName
63C25B20-96BE-488F-8788-C09C407AD812\100,Contact PrimaryAddressStreet
641064ba-9329-47e6-8f36-5fa81aa461a0\2,OneNote Page Edit History
641064ba-9329-47e6-8f36-5fa81aa461a0\3,OneNote Tagged Notes
641064ba-9329-47e6-8f36-5fa81aa461a0\4,OneNote Linked Note Uri
6444048F-4C8B-11D1-8B70-080036B11A03\3,Image HorizontalSize
6444048F-4C8B-11D1-8B70-080036B11A03\4,Image VerticalSize
6444048F-4C8B-11D1-8B70-080036B11A03\5,Image HorizontalResolution
6444048F-4C8B-11D1-8B70-080036B11A03\6,Image VerticalResolution
6444048F-4C8B-11D1-8B70-080036B11A03\7,Image BitDepth
6444048F-4C8B-11D1-8B70-080036B11A03\12,Media FrameCount
6444048F-4C8B-11D1-8B70-080036B11A03\13,Image Dimensions
64440490-4C8B-11D1-8B70-080036B11A03\2,Audio Format
64440490-4C8B-11D1-8B70-080036B11A03\3,Media Duration
64440490-4C8B-11D1-8B70-080036B11A03\4,Audio EncodingBitrate
64440490-4C8B-11D1-8B70-080036B11A03\5,Audio SampleRate
64440490-4C8B-11D1-8B70-080036B11A03\6,Audio SampleSize
64440490-4C8B-11D1-8B70-080036B11A03\7,Audio ChannelCount
64440490-4C8B-11D1-8B70-080036B11A03\8,Audio StreamNumber
64440490-4C8B-11D1-8B70-080036B11A03\9,Audio StreamName
64440490-4C8B-11D1-8B70-080036B11A03\10,Audio Compression
64440491-4C8B-11D1-8B70-080036B11A03\2,Video StreamName
64440491-4C8B-11D1-8B70-080036B11A03\3,Video FrameWidth
64440491-4C8B-11D1-8B70-080036B11A03\4,Video FrameHeight
64440491-4C8B-11D1-8B70-080036B11A03\6,Video FrameRate
64440491-4C8B-11D1-8B70-080036B11A03\8,Video EncodingBitrate
64440491-4C8B-11D1-8B70-080036B11A03\9,Video SampleSize
64440491-4C8B-11D1-8B70-080036B11A03\10,Video Compression
64440491-4C8B-11D1-8B70-080036B11A03\11,Video StreamNumber
64440491-4C8B-11D1-8B70-080036B11A03\42,Video HorizontalAspectRatio
64440491-4C8B-11D1-8B70-080036B11A03\43,Video TotalBitrate
64440491-4C8B-11D1-8B70-080036B11A03\44,Video FourCC
64440491-4C8B-11D1-8B70-080036B11A03\45,Video VerticalAspectRatio
64440491-4C8B-11D1-8B70-080036B11A03\46,Video TranscodedForSync
64440491-4C8B-11D1-8B70-080036B11A03\98,Video IsStereo
64440491-4C8B-11D1-8B70-080036B11A03\99,Video Orientation
64440491-4C8B-11D1-8B70-080036B11A03\100,Video IsSpherical
64440492-4c8b-11d1-8b70-080036b11a03\7,Media Status
64440492-4C8B-11D1-8B70-080036B11A03\9,Rating
64440492-4C8B-11D1-8B70-080036B11A03\11,Copyright
64440492-4C8B-11D1-8B70-080036B11A03\12,ShareUserRating
64440492-4C8B-11D1-8B70-080036B11A03\13,Media ClassPrimaryID
64440492-4C8B-11D1-8B70-080036B11A03\14,Media ClassSecondaryID
64440492-4C8B-11D1-8B70-080036B11A03\15,Media DVDID
64440492-4C8B-11D1-8B70-080036B11A03\16,Media MCDI
64440492-4C8B-11D1-8B70-080036B11A03\17,Media MetadataContentProvider
64440492-4C8B-11D1-8B70-080036B11A03\18,Media ContentDistributor
64440492-4C8B-11D1-8B70-080036B11A03\19,Music Composer
64440492-4C8B-11D1-8B70-080036B11A03\20,Video Director
64440492-4C8B-11D1-8B70-080036B11A03\21,ParentalRating
64440492-4C8B-11D1-8B70-080036B11A03\22,Media Producer
64440492-4C8B-11D1-8B70-080036B11A03\23,Media Writer
64440492-4C8B-11D1-8B70-080036B11A03\24,Media CollectionGroupID
64440492-4C8B-11D1-8B70-080036B11A03\25,Media CollectionID
64440492-4C8B-11D1-8B70-080036B11A03\26,Media ContentID
64440492-4C8B-11D1-8B70-080036B11A03\27,Media CreatorApplication
64440492-4C8B-11D1-8B70-080036B11A03\28,Media CreatorApplicationVersion
64440492-4C8B-11D1-8B70-080036B11A03\30,Media Publisher
64440492-4C8B-11D1-8B70-080036B11A03\31,Music Period
64440492-4C8B-11D1-8B70-080036B11A03\32,Media AuthorUrl
64440492-4C8B-11D1-8B70-080036B11A03\33,Media PromotionUrl
64440492-4C8B-11D1-8B70-080036B11A03\34,Media UserWebUrl
64440492-4C8B-11D1-8B70-080036B11A03\35,Media UniqueFileIdentifier
64440492-4C8B-11D1-8B70-080036B11A03\36,Media EncodedBy
64440492-4C8B-11D1-8B70-080036B11A03\37,Media EncodingSettings
64440492-4C8B-11D1-8B70-080036B11A03\38,Media ProtectionType
64440492-4C8B-11D1-8B70-080036B11A03\39,Media ProviderRating
64440492-4C8B-11D1-8B70-080036B11A03\40,Media ProviderStyle
64440492-4C8B-11D1-8B70-080036B11A03\41,Media UserNoAutoInfo
64440492-4C8B-11D1-8B70-080036B11A03\42,Media SeriesName
64440492-4C8B-11D1-8B70-080036B11A03\47,Media ThumbnailLargePath
64440492-4C8B-11D1-8B70-080036B11A03\48,Media ThumbnailLargeUri
64440492-4C8B-11D1-8B70-080036B11A03\49,Media ThumbnailSmallPath
64440492-4C8B-11D1-8B70-080036B11A03\50,Media ThumbnailSmallUri
64440492-4C8B-11D1-8B70-080036B11A03\100,Media EpisodeNumber
64440492-4C8B-11D1-8B70-080036B11A03\101,Media SeasonNumber
644D37B4-E1B3-4BAD-B099-7E7C04966ACA\100,Contact EmailAddress3
EAEE7F1D-6A33-44D1-9441-5F46DEF23198\9,Device BIOSVersion
92506491-FF95-4724-A05A-5B81885A7C92\1,WSD Metadata Clean
92506491-FF95-4724-A05A-5B81885A7C92\2,WSD Service Info
92506491-FF95-4724-A05A-5B81885A7C92\4096,WSD AddressURI
92506491-FF95-4724-A05A-5B81885A7C92\4097,WSD Types
92506491-FF95-4724-A05A-5B81885A7C92\4098,WSD Scopes
92506491-FF95-4724-A05A-5B81885A7C92\4099,WSD MetadataVersion
92506491-FF95-4724-A05A-5B81885A7C92\4100,WSD App Seq InstanceID
92506491-FF95-4724-A05A-5B81885A7C92\4101,WSD App Seq SessionID
92506491-FF95-4724-A05A-5B81885A7C92\4102,WSD App Seq Message Number
92506491-FF95-4724-A05A-5B81885A7C92\8192,WSD XAddrs
904b03a2-471d-423c-a584-f3483238a146\1,Device Visibility Flags
904b03a2-471d-423c-a584-f3483238a146\2,Device Not Present
78C34FC8-104A-4aca-9EA4-524D52996E57\36,Device QueueSize
78C34FC8-104A-4aca-9EA4-524D52996E57\37,Device Status
78C34FC8-104A-4aca-9EA4-524D52996E57\38,Device Comment
78C34FC8-104A-4aca-9EA4-524D52996E57\39,Device Model
78C34FC8-104A-4aca-9EA4-524D52996E57\51,DeviceDisplay Address
78C34FC8-104A-4ACA-9EA4-524D52996E57\52,Devices DiscoveryMethod
78C34FC8-104A-4aca-9EA4-524D52996E57\53,DeviceDisplay IsEncrypted
78C34FC8-104A-4aca-9EA4-524D52996E57\54,DeviceDisplay IsAuthenticated
78C34FC8-104A-4ACA-9EA4-524D52996E57\55,Devices Connected
78C34FC8-104A-4ACA-9EA4-524D52996E57\56,Devices Paired
78C34FC8-104A-4ACA-9EA4-524D52996E57\57,Devices Icon
78C34FC8-104A-4aca-9EA4-524D52996E57\65,DeviceDisplay Version
78C34FC8-104A-4aca-9EA4-524D52996E57\66,DeviceDisplay Last_Seen
78C34FC8-104A-4aca-9EA4-524D52996E57\67,DeviceDisplay Last_Connected
78C34FC8-104A-4aca-9EA4-524D52996E57\68,DeviceDisplay IsShowInDisconnectedState
78C34FC8-104A-4ACA-9EA4-524D52996E57\70,Devices LocalMachine
